6f708868-c46f-11ea-ba01-ac1f6b2cd28a,Соус айоли с чесноком,48.0
411e2d5a-c3f5-11ea-9f7f-0242ac1c0002,Утка с медом и папайей,47.5
f847beec-c422-11ea-ba01-ac1f6b2cd28a,"Маринованный лосось с салатом из чили, огурца и сока лайма",50.0
148f4638-c400-11ea-ba01-ac1f6b2cd28a,Салат Морской с кальмарами и креветками,125.4
2a69718a-c497-11ea-ba01-ac1f6b2cd28a,Торт с ягодами и сливочным кремом,46.67
ba9d1288-c3fd-11ea-a7a3-0242ac1c0002,Цыпленок Тапака,34.0
3d665ac6-c40d-11ea-9f7f-0242ac1c0002,Цветная капуста с фаршем под сырным соусом бешамель,107.5
63a28416-c48b-11ea-ba01-ac1f6b2cd28a,Лимоно-чайные маффины,47.67
e47720c4-c4a4-11ea-ba01-ac1f6b2cd28a,Мандариновые маффины,15.0
8e52755c-c429-11ea-ba01-ac1f6b2cd28a,Тушенка из говядины и свинины,19.17
affcfabc-c427-11ea-ba01-ac1f6b2cd28a,Саганаки,8.0
a18c218c-c423-11ea-ba01-ac1f6b2cd28a,Запеченный фенхель с пармезаном и тимьяном,18.0
e48359e4-c476-11ea-ba01-ac1f6b2cd28a,Пасхальный кулич с кремом,64.0
9662faa2-c47c-11ea-ba01-ac1f6b2cd28a,Вареники с вишней по‑одесски,7.86
a37b9d7c-c3fd-11ea-ba01-ac1f6b2cd28a,Уха из форели по‑фински,28.8
006fde10-c473-11ea-ba01-ac1f6b2cd28a,Оладьи простые,27.0
4661ee10-c3fe-11ea-b8df-0242ac1c0002,Нудли по‑украински,99.0
8b88d684-c403-11ea-ba01-ac1f6b2cd28a,Окрошка на белом квасе с перепелиными яйцами и эстрагоном,47.5
c281fece-c46a-11ea-ba01-ac1f6b2cd28a,Печенье с шоколадом,42.67
39246aac-c3ea-11ea-ba01-ac1f6b2cd28a,Гамбургер из говядины с руколой и красным луком,18.29
25b9692c-c3f4-11ea-ba01-ac1f6b2cd28a,Вишневый кисель,14.67
836a053e-c487-11ea-ba01-ac1f6b2cd28a,Золотистый луковый пирог,77.0
77b894e0-c3fa-11ea-b8df-0242ac1c0002,Картофельная запеканка-суфле с грибами и луком,81.0
15f9eeb0-c3f6-11ea-ba01-ac1f6b2cd28a,Ванильный милкшейк с шоколадным печеньем,8.33
86d24bbc-c3f8-11ea-b8df-0242ac1c0002,Перловая каша с маслом,22.5
d610609a-c422-11ea-ba01-ac1f6b2cd28a,Конверты из теста фило с лососем,14.0
8f8ace60-c41f-11ea-ba01-ac1f6b2cd28a,Пицца с баклажанами и вялеными томатами,57.0
53af8592-c3fd-11ea-ba01-ac1f6b2cd28a,"Салат с ветчиной, сладким перцем и красной фасолью",8.4
b3c56a56-c3f2-11ea-b344-0242ac1c0002,"Запеченный перец, фаршированный брынзой",10.0
a053c498-c3f9-11ea-ba01-ac1f6b2cd28a,Легкий молочный гороховый суп с травами,88.0
6c0e7a6a-c3f5-11ea-b344-0242ac1c0002,Жареная баранина с тимьяном и савойской капустой,21.0
d8acf524-c432-11ea-ba01-ac1f6b2cd28a,Грибные оладьи из шампиньонов,41.6
0d46b202-c221-11ea-9c18-ac1f6b2cd28a,Пшенная каша с тыквой в горшочках,28.0
adf78b6c-c402-11ea-b344-0242ac1c0002,"Курица, запеченная с овощами и сладким перцем",92.71
76029d38-c401-11ea-9f7f-0242ac1c0002,Куриное филе в соусе сырном,14.0
6084925a-c3f1-11ea-b344-0242ac1c0002,Полба с белыми грибами,42.0
42bf4164-c411-11ea-ba01-ac1f6b2cd28a,Закуска из курицы с черносливом «Рафаэло куриное»,18.0
6fcc0826-c3ef-11ea-b344-0242ac1c0002,Морские гребешки и тигровые креветки в соусе «Самбука»,20.0
b75abc26-c482-11ea-ba01-ac1f6b2cd28a,Засахаренные грецкие орехи с медом,18.0
f8a83a90-c3ed-11ea-ba01-ac1f6b2cd28a,Суп-пюре из кольраби с гренками и гарниром из жареных грибов,44.55
103b8fa6-c40a-11ea-b8df-0242ac1c0002,Сливочный гратен с курицей и тыквой,90.0
5a38c376-c3fb-11ea-ba01-ac1f6b2cd28a,Черный русский,6.0
24227db4-c481-11ea-ba01-ac1f6b2cd28a,Морковный бисквит,37.33
7b9d883a-c3f6-11ea-b8df-0242ac1c0002,Говядина чили,65.0
00525f04-c3f9-11ea-ba01-ac1f6b2cd28a,Фраппе с горячим шоколадом и кремом из фундука,30.0
9558664c-c224-11ea-9c18-ac1f6b2cd28a,Каша из дробленой овсяной крупы,12.0
57194b8e-c225-11ea-9c18-ac1f6b2cd28a,Кускус с манго и кокосовыми сливками,16.0
a9d39216-c41a-11ea-ba01-ac1f6b2cd28a,Спагетти карбонара с беконом и яйцом,33.0
81022612-c222-11ea-9c18-ac1f6b2cd28a,"Крем-сыр из рикотты, ветчины и зеленого лука",17.5
fe846992-c484-11ea-ba01-ac1f6b2cd28a,Тарталетки с ягодами и сливочно-сырным кремом,45.0
7705676c-c427-11ea-ba01-ac1f6b2cd28a,"Креветки с дыней, рукколой и розовым перцем",27.0
d4c659cc-c21c-11ea-9c18-ac1f6b2cd28a,"Тыква, запеченная с творогом и изюмом",12.0
e2da9d90-c3f0-11ea-9f7f-0242ac1c0002,Котлеты из трех видов мяса,121.33
12751b42-c488-11ea-ba01-ac1f6b2cd28a,Морковное печенье с овсяными хлопьями,8.0
47c0060c-c49e-11ea-ba01-ac1f6b2cd28a,Пирог с камамбером и пряной сливой,16.5
a181a12c-c3f0-11ea-ba01-ac1f6b2cd28a,Сырный картофельный суп с морепродуктами,22.4
9a5c5644-c3f5-11ea-b344-0242ac1c0002,Зразы с фаршем,30.67
bd701c88-c495-11ea-ba01-ac1f6b2cd28a,Дрожжевое тесто со сливочным маслом,25.5
65f776b8-c422-11ea-ba01-ac1f6b2cd28a,Апельсиновый тофу,21.0
97c49440-c405-11ea-a7a3-0242ac1c0002,Гороховый хумус,31.5
d3605058-c463-11ea-ba01-ac1f6b2cd28a,Торт «Муравейник»,24.0
2dba323c-c47b-11ea-ba01-ac1f6b2cd28a,Блинчики со шпинатом и четырьмя сырами,93.71
aa9ff0dc-c4a0-11ea-ba01-ac1f6b2cd28a,Овсяный блинный торт с творожное-малиновым кремом,13.2
2596572e-c404-11ea-a7a3-0242ac1c0002,Форель с орехами по‑армянски,14.0
d6be95dc-c410-11ea-9f7f-0242ac1c0002,Жареные кабачки с чесночным соусом,21.0
aa231620-c469-11ea-ba01-ac1f6b2cd28a,Хрустящая арахисовая паста (Crunchy peanut butter ),2.0
79fa754c-c3e7-11ea-ba01-ac1f6b2cd28a,Шпинатный салат с апельсином и репкой,63.0
d8371d22-c3f1-11ea-ba01-ac1f6b2cd28a,Куриный суп с томатами и кукурузными чипсами,48.0
927cbb3e-c46e-11ea-ba01-ac1f6b2cd28a,Йогуртовый кекс с ягодами,87.0
6dd5621c-c410-11ea-ba01-ac1f6b2cd28a,Вегетарианский оливье с авокадо,18.0
934aea40-c432-11ea-ba01-ac1f6b2cd28a,Томатное конфи с прованскими травами,4.73
3c8edaea-c21b-11ea-9c18-ac1f6b2cd28a,Бенедикт с пастрами,82.33
0e5b5e72-c3f7-11ea-b8df-0242ac1c0002,Жареное филе хека,8.75
12519f9a-c470-11ea-ba01-ac1f6b2cd28a,Домашний торт «Птичье молоко»,16.0
025353f2-c3ff-11ea-ba01-ac1f6b2cd28a,Смузи «Мятно-черничный»,6.0
1a6290bc-c421-11ea-ba01-ac1f6b2cd28a,Букатини с томатным соусом и лососем,18.0
729cc5b4-c222-11ea-9c18-ac1f6b2cd28a,Кокосовые сырники на скорую руку,12.0
72c09a58-c3e8-11ea-ba01-ac1f6b2cd28a,Гамбургер обыкновенный,31.43
eeb4edb2-c226-11ea-9c18-ac1f6b2cd28a,Гречневая каша в мультиварке,14.0
08b95220-c475-11ea-ba01-ac1f6b2cd28a,Ежевичные маффины,38.5
ab64ceda-c409-11ea-9f7f-0242ac1c0002,Печенка в сметане,28.33
06ccfdc6-c426-11ea-ba01-ac1f6b2cd28a,Запеченная ветчина в корочке из коричневого сахара и специй,29.25
e3f038cc-c227-11ea-9c18-ac1f6b2cd28a,Киш «а‑ля Mexico»,87.83
5e22d28e-c404-11ea-a7a3-0242ac1c0002,"Обжаренная лапша с яйцом, кунжутом и соевым соусом",33.0
1744b892-c41c-11ea-ba01-ac1f6b2cd28a,Паста с копченой курицей и плавленным сыром,17.5
